SL No,Dispo_No,Dispo_Date,PO_No,Mkt_Ref_No,Style_No,color,Dispo Qty(Yds),PO_Qty,End_Buyer,garments_name,Process_Type,fabric_type,Weave_Type,composition,Total_Ends,Warp_Count,Weft Count,finish_type,construction,Dispo Grey Yarn Req (Warp),Dispo Grey Yarn Req (Weft),Dispo Dyed Yarn Req (Warp),Dispo Dyed Yarn Req (Weft),dispo_grey_qty,Req Grey Fabrics(YDS),Color Warp,Color Weft,Reed No,finish_width,Warp Length,Receive Warp Length,Remining Warp Length,Warp Plane,Acc.Holder,Total Grey Yarn Issued,S/W Total Yarn Issued Qty,Warp Yarn Consumption,Weft Yarn Consumption,DO No,DO Qty,Delivery Qty,Remarks,Short Excess Production,Print,Sample Qty.,Dispo Ref.,Type,Excess Dispo,Excess Qty,1st Gray Receive,Full Gray Receive,Hand Loom Delivery,Sample Delivery,PP Sample,Full Delivery,Test Sample,PP Sample,1st Delivery,2nd Delivery,3rd Delivery,Full Qty Delivery,Hanger,Dye Lot,ppsample,1st Delivery,2nd Delivery,Full Qty Delivery,3rd  Delivery,,,
1,000015,14 Aug 2023,230801786R-1,P230508038,,GREEN 23S-02055-B,699.91 ,1.09 ,JRC FASHION,Quazi Abedin Tex Ltd,S/D,Solid,"3/1 ""S"" Twill",97% Cotton 3% Spandex,"7,100.00 ",20,16+70D,RFD,128x50/20x16+70D,273.39 ,161.34 ,273.39 ,161.34 ,985.00 ,"1,077.21 ",1,1,94/2,75.53,"1,251.09 ",0.00 ,"1,251.09 ",0.00 ,Zulker Nayeen,434.73 ,0.00 ,0.00 ,0.00 ,,0,0.00 ,,0,No,0.00 ,,General,0.00 ,0.00 ,,,,,,,,,,,,30 Aug 2023,,,,,,,,,,
2,000017,23 Sep 2023,230902194R-4,P230710776,5030M,DARK NAVY 48729A,"28,161.00 ",1.09 ,M&S,SHAMS STYLING WEAR LIMITED,S/D,Solid,2/1 “S” Twill,98% BCI Cotton + 2% Spandex.,"7,450.00 ",20,16+70D,Peach+Water Repellent,130x60/20x16+70D,0.00 ,0.00 ,0.00 ,0.00 ,"32,188.00 ","35,201.12 ",1,1,100/2,74.5,0.00 ,0.00 ,0.00 ,0.00 ,Muzahid,0.00 ,0.00 ,0.00 ,0.00 ,,0,0.00 ,,0,No,0.00 ,,General,0.00 ,0.00 ,,,,,,,01 Oct 2023,01 Oct 2023,,,,24 Oct 2023,,,,,,,,,,
3,000018,23 Sep 2023,230902194R-4,P230710780,5030M,"DARK SAGE	47022B","5,031.00 ",1.09 ,M&S,SHAMS STYLING WEAR LIMITED,S/D,Solid,2/1 “S” Twill,98% BCI Cotton + 2% Spandex.,"7,450.00 ",20,16+70D,Peach+Water Repellent,130x60/20x16+70D,0.00 ,0.00 ,0.00 ,0.00 ,"5,750.00 ","6,288.26 ",1,1,100/2,74.5,0.00 ,0.00 ,0.00 ,0.00 ,Muzahid,0.00 ,0.00 ,0.00 ,0.00 ,,0,0.00 ,,0,No,0.00 ,,General,0.00 ,0.00 ,,,,,,,01 Oct 2023,01 Oct 2023,,,,24 Oct 2023,,,,,,,,,,
4,000019,28 Sep 2023,230902241R-3,P230711661,TI-1560/ SS24/ TH10/ 685530 RAGONDIN,253 Vert Malachite,"3,895.00 ",1.00 ,IDKIDS GROUP,REMI HOLDINGS LTD.,S/D,Solid,Dobby (Double cloth),100% BCI Cotton,"7,050.00 ",40,40,Cheese (process as T05907),118(124)x88(80)/40x40,493.77 ,395.19 ,493.77 ,395.19 ,"4,240.00 ","4,636.91 ",1,1,94/2,75,"4,601.19 ",0.00 ,"4,601.19 ",0.00 ,Shakibul Islam,888.96 ,0.00 ,0.00 ,0.00 ,,0,0.00 ,,0,No,0.00 ,,General,0.00 ,0.00 ,,,,,,,16 Oct 2023,31 Oct 2023,,,,10 Nov 2023,,,,,,,,,,
5,010011,15 Jul 2023,230701502R-1,P230303985,,Cancelled,800.00 ,1.00 ,TAROCASH,EVE DRESS-SHIRT'S LIMITED.,S/D,Solid,Plain,100% Cotton,"7,670.00 ",40,40,Soft,133x72/40x40,0.00 ,0.00 ,0.00 ,0.00 ,975.00 ,"1,066.27 ",1,1,118/2,65,0.00 ,0.00 ,0.00 ,0.00 ,S.M Zahidul Islam,0.00 ,0.00 ,0.00 ,0.00 ,,0,0.00 ,,0,No,0.00 ,,General,0.00 ,0.00 ,,,,,,,22 Jul 2023,,,,,22 Jul 2023,,,,,,,,,,
6,100009,03 Aug 2023,230801696R-1,P230610481,,,"5,610.00 ",1.00 ,Sainsbury,GREEN SMART SHIRTS LTD.,S/D + All Over Print,Solid,Oxford,100% BCI Cotton,"6,325.00 ",40//,32/2,Soft,110X50/40//X32/2,0.00 ,0.00 ,0.00 ,0.00 ,"6,412.00 ","7,012.23 ",1,1,90/2,70.28,0.00 ,0.00 ,0.00 ,0.00 ,sharmin akter2,0.00 ,0.00 ,0.00 ,0.00 ,,0,0.00 ,,0,Yes,0.00 ,,General,0.00 ,0.00 ,,,,,,,10 Aug 2023,10 Aug 2023,,,,13 Aug 2023,,,,,,,,,,
7,100012,22 Aug 2023,230801881R-1,P230609787,H083B,62 Blue,0.00 ,1.09 ,UNIQLO,GREEN TEXTILE LIMITED,All Over Print,Approved Sample,Plain,100% BCI Cotton,0.00 ,110,70,Mercerized + Soft,110x70/40x40,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0,0,0/2,0,0.00 ,0.00 ,0.00 ,0.00 ,Md. Akib Zawad,0.00 ,0.00 ,0.00 ,0.00 ,,0,0.00 ,,0,No,0.00 ,,General,0.00 ,0.00 ,,,,,,,,,14 Sep 2023,,,19 Sep 2023,,,,,,,,,,
8,100013,22 Aug 2023,230801881R-1,P230609788,H083B,09 BLACK,0.00 ,1.09 ,UNIQLO,GREEN TEXTILE LIMITED,All Over Print,Approved Sample,Plain,100% BCI Cotton,0.00 ,110,70,Mercerized + Soft,110x70/40x40,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0,0,0/2,0,0.00 ,0.00 ,0.00 ,0.00 ,Md. Akib Zawad,0.00 ,0.00 ,0.00 ,0.00 ,,0,0.00 ,,0,No,0.00 ,,General,0.00 ,0.00 ,,,,,,,,,14 Sep 2023,,,19 Sep 2023,,,,,,,,,,
9,100014,10 Aug 2023,230801741R-2,P230201996,,Use this fabric as greige fabric,"1,639.00 ",1.00 ,LEVI'S-DEKKO,DEKKO GARMENTS LIMITED,White+All Over Print,Printed,"2/2 ""S"" Twill",59% BCI Cotton 41% Eco Vero Viscose,"5,244.00 ",21,30 Viscose,Soft,90x90/21Cottonx30Viscose,367.27 ,294.66 ,367.27 ,294.66 ,"2,141.00 ","2,341.42 ",1,1,72/2,72.83,"2,415.79 ",0.00 ,"2,415.79 ",0.00 ,Md. Arifur Rahman,661.93 ,0.00 ,0.00 ,0.00 ,,0,0.00 ,,0,Yes,0.00 ,,General,0.00 ,0.00 ,,,,,,,26 Aug 2023,26 Aug 2023,,,,05 Sep 2023,,26 Aug 2023,,,,,,,,
10,102855,07 Aug 2023,190601050,P190607070,M&S T25,,"41,093.49 ","100,000.00 ",M&S,MILLENNIUM TEXTILES (SOUTHERN) LTD,WHITE+ Ready for Print,Printed,Plain,100% BCI Cotton,"7,670.00 ",40,40,Soft,133x72/40x40,"5,335.05 ","3,009.53 ","5,335.05 ","3,009.53 ","42,700.00 ","46,697.15 ",1,1,118/2,65,"46,881.86 ",439.30 ,"46,442.56 ",439.30 ,Md. Sanjibur Rahman Prince,"8,344.58 ",0.00 ,70.00 ,0.00 ,,0,0.00 ,,0,No,0.00 ,,General,0.00 ,0.00 ,,,,,,,28 Jul 2019,,,,,,,,,,,,,,,
